time,steps,chi,alpha,qubit_amp,detuning,err
500,50,-66,5,0.01,-0.01,0.014622638933360577
1000,50,-66,5,0.01,-0.01,-1.0
500,50,-66,5,0.001,-0.01,0.7968454957008362
1000,50,-66,5,0.001,-0.01,-1.0
500,50,-66,10,0.01,-0.01,0.03396230936050415
1000,50,-66,10,0.01,-0.01,-1.0
500,50,-66,10,0.001,-0.01,0.42544493079185486
1000,50,-66,10,0.001,-0.01,-1.0
