time,steps,chi,alpha,qubit_amp,detuning,err
1000,250,-0.0006600000000000001,30,0.001,-0.01,8.225440979003906e-06
1500,250,-0.0006600000000000001,30,0.001,-0.01,9.618699550628662e-06
2000,250,-0.0006600000000000001,30,0.001,-0.01,1.4007091522216797e-05
500,250,-0.0006600000000000001,30,0.0001,-0.01,0.9346151351928711
1000,250,-0.0006600000000000001,30,0.0001,-0.01,0.7774168252944946
1500,250,-0.0006600000000000001,30,0.0001,-0.01,0.6247431635856628
2000,250,-0.0006600000000000001,30,0.0001,-0.01,0.5167263746261597
500,250,-0.0066,15,0.01,-0.01,0.001611948013305664
1000,250,-0.0066,15,0.01,-0.01,0.27152323722839355
1500,250,-0.0066,15,0.01,-0.01,-1.0
2000,250,-0.0066,15,0.01,-0.01,-1.0
500,250,-0.0066,15,0.001,-0.01,0.6042282581329346
1000,250,-0.0066,15,0.001,-0.01,0.18723756074905396
1500,250,-0.0066,15,0.001,-0.01,-1.0
2000,250,-0.0066,15,0.001,-0.01,-1.0
500,250,-0.0066,15,0.0001,-0.01,0.9439141750335693
1000,250,-0.0066,15,0.0001,-0.01,0.9588524699211121
1500,250,-0.0066,15,0.0001,-0.01,-1.0
2000,250,-0.0066,15,0.0001,-0.01,-1.0
500,250,-0.0066,20,0.01,-0.01,0.01420736312866211
1000,250,-0.0066,20,0.01,-0.01,-1.0
1500,250,-0.0066,20,0.01,-0.01,-1.0
2000,250,-0.0066,20,0.01,-0.01,-1.0
500,250,-0.0066,20,0.001,-0.01,0.16985857486724854
1000,250,-0.0066,20,0.001,-0.01,-1.0
1500,250,-0.0066,20,0.001,-0.01,-1.0
2000,250,-0.0066,20,0.001,-0.01,-1.0
500,250,-0.0066,20,0.0001,-0.01,0.45120909810066223
1000,250,-0.0066,20,0.0001,-0.01,-1.0
1500,250,-0.0066,20,0.0001,-0.01,-1.0
2000,250,-0.0066,20,0.0001,-0.01,-1.0
500,250,-0.0066,25,0.01,-0.01,-0.00032320618629455566
1000,250,-0.0066,25,0.01,-0.01,-1.0
1500,250,-0.0066,25,0.01,-0.01,-1.0
2000,250,-0.0066,25,0.01,-0.01,-1.0
500,250,-0.0066,25,0.001,-0.01,0.4468348026275635
1000,250,-0.0066,25,0.001,-0.01,-1.0
1500,250,-0.0066,25,0.001,-0.01,-1.0
2000,250,-0.0066,25,0.001,-0.01,-1.0
500,250,-0.0066,25,0.0001,-0.01,0.8177900314331055
1000,250,-0.0066,25,0.0001,-0.01,-1.0
1500,250,-0.0066,25,0.0001,-0.01,-1.0
2000,250,-0.0066,25,0.0001,-0.01,-1.0
500,250,-0.0066,30,0.01,-0.01,-0.014621853828430176
1000,250,-0.0066,30,0.01,-0.01,-1.0
1500,250,-0.0066,30,0.01,-0.01,-1.0
2000,250,-0.0066,30,0.01,-0.01,-1.0
500,250,-0.0066,30,0.001,-0.01,0.5693774819374084
1000,250,-0.0066,30,0.001,-0.01,-1.0
1500,250,-0.0066,30,0.001,-0.01,-1.0
2000,250,-0.0066,30,0.001,-0.01,-1.0
500,250,-0.0066,30,0.0001,-0.01,0.9721100926399231
1000,250,-0.0066,30,0.0001,-0.01,-1.0
1500,250,-0.0066,30,0.0001,-0.01,-1.0
2000,250,-0.0066,30,0.0001,-0.01,-1.0
