truncation,levels,exact fidelity,bo_fidelity,qutip fidelity,betas_r,betas_i,gammas_r,gammas_i,phis,thetas
,,,,,,,,,,
10.0,2.0,0.1353352182042062,0.13534442,0.018306504211322936,"[-1.0317507, 2.9311693]","[1.1929481, -0.56659055]","[0.3312503, -2.2737894]","[-0.57649285, 1.0524526]","[0.0, -1.4943601]","[0.0, 0.0]"
10.0,4.0,0.4822657213770581,0.48226896,0.23229827883184437,"[1.1070973, -0.593497, -0.6090256, -9.370529e-06]","[-1.4047765, -0.4836414, -0.5550839, -6.041329e-06]","[-0.68757117, 0.6610603, 0.8769486, -5.8338737e-06]","[0.45436478, -0.38620776, 1.5588896, 3.338485e-06]","[0.0, 1.5708163, -1.5707749, 2.2888184e-05]","[-1.5707982, 1.5483696, 1.5932214, 1.5707967]"
10.0,6.0,0.963144297764178,0.96315694,0.9236339396048442,"[-3.5486182e-06, 6.1015357e-06, 0.31787023, -0.992028, 0.13265252, -2.3133247e-05]","[2.0439791e-05, 1.4551485e-06, -1.533964, -0.20543048, -0.6405589, 8.025449e-05]","[-0.5473627, -0.55472666, 1.3100947, -9.317979e-06, -2.8492143e-05, 6.3365146e-06]","[0.35816807, -0.84777415, -0.8589938, -1.2012046e-05, 1.7165019e-05, -2.7214692e-05]","[0.0, 1.5708826, -1.5708811, 1.5708792, -1.5708795, 8.583069e-05]","[-1.5707266, -1.5712142, 1.5712464, 1.5707443, 1.5708535, 1.5707133]"
10.0,8.0,0.01951896750515915,0.9950034,0.000458725205602194,"[-0.62175345, 0.40788835, -2.050283, -2.1126068, 2.3000329, 1.4554696, 0.17715916, 0.35697904]","[4.563371, 0.059844542, -1.0031503, 1.295825, 1.0991119, 0.5524596, -1.990812, -1.36384]","[0.8153264, -3.5229461, -1.3499558, 0.27291903, 0.29628816, 2.4343324, -1.5852973, -0.56055593]","[-2.7358968, 0.025204692, 0.08491416, -0.31146434, 1.7636485, -0.737144, 2.8124585, 0.19802077]","[0.0, -0.11584687, 0.87533975, -1.6313862, 2.9965556, -0.6700249, 0.27455854, -0.40658307]","[-2.3841858e-07, 3.1415923, -2.3841858e-07, -2.3841858e-07, 0.0, 0.0, -3.1415923, 2.3841858e-07]"
10.0,10.0,0.1993823836623227,0.99574816,0.0489770497834574,"[0.5657178, 0.120955236, -0.8002235, 3.744708, 0.038992602, 3.0617926, 1.3344916, -0.98202455, -0.8069465, 1.0377754]","[3.6579838, 0.1905279, 0.26088572, -0.6374204, -0.20853041, 0.013128018, 0.03383139, 0.34609416, 1.0851512, 2.6679873]","[2.869837, 1.1018021, 1.6426775, -0.36613768, -0.31711063, -2.9639685, -1.1812341, -0.38603663, 2.0354633, 2.5216954]","[0.5722848, 0.2747569, -0.7523706, -0.42896155, 1.18422, -2.5630047, 0.99706566, -0.71426576, 1.3934994, 1.7348863]","[0.0, -0.342865, -0.08286691, 2.3706229, -1.5440361, 0.02941966, 0.78552794, -0.30540466, -1.4478066, -2.3474152]","[-3.1415083, -0.0023593903, -3.1415718, 3.139252, 0.0019993782, -3.1395571, 0.00032401085, -3.1414359, 3.1413634, -0.002245903]"
10.0,12.0,0.24639146670118736,0.99590147,0.05525324245527337,"[-1.2044681, 0.91682416, -0.85643494, 2.1246853, 2.1782544, 1.4039322, 0.7294216, -2.9160018, -0.9594109, -3.039988, 1.1778513, -3.6911902]","[3.2179544, -0.8495686, 0.9158082, 1.4091295, 0.61484367, 2.5220551, 0.09850799, 1.1097412, -1.490911, -0.15298373, -1.7116932, 0.14755557]","[-1.4497906, 0.0004783259, 8.062313e-05, -0.42409426, -0.033001237, -0.14939445, -3.0168161, 0.37965792, 0.83875334, 2.6385896, -0.09336898, -0.87664616]","[0.6165838, -0.0047156163, -0.0020830766, -1.7118646, -2.7664046, 0.15157302, 0.89503074, 1.1033779, 0.84797204, -2.001497, -0.1582045, 2.9774957]","[0.0, 0.20703363, 0.6258724, 3.1213539, -2.3914614, -1.5876468, -2.1920283, -2.2778718, -1.9238446, 1.391115, -0.86790633, -2.325004]","[-3.1401072, -2.9240837, 0.0659225, 0.20694208, 0.005781889, -3.1331413, -0.006509304, 3.1409657, -3.1411376, -0.002418518, -0.00019574165, -3.141421]"
12.0,2.0,0.13533528323608626,0.13533531,0.01828402253030815,"[-2.7481567e-08, 1.321242]","[1.9210117e-06, 1.5014404]","[-0.08736417, 1.808087]","[0.19059184, 0.828765]","[0.0, -2.7230406]","[-2.3067772, -2.3067782]"
12.0,4.0,0.5413411329404246,0.5413396,0.29269717441415916,"[-1.74547, 0.24210438, 2.8462767e-07, -3.893503e-06]","[0.5482304, 0.7708185, 1.0167635e-06, -6.492536e-06]","[1.3335051e-07, -0.10062261, -1.8152975, 1.9777985e-07]","[1.0126448e-06, -0.80165505, 0.22785027, 2.4629864e-08]","[0.0, -1.5708115, -1.5708153, 3.1415756]","[-1.5707966, 1.5707963, 1.5707963, -1.5707965]"
12.0,6.0,0.9631450956341576,0.96314037,0.9258254672717203,"[2.7020184e-05, -8.603938e-06, 1.002538, -0.7785551, -0.41858798, -4.8714965e-06]","[1.0101796e-05, -4.1652245e-05, -1.2037792, -0.64827937, 0.502701, 1.391442e-06]","[0.2590281, -0.9302451, -0.6200921, 2.2473418e-05, 7.4921496e-05, -1.6964044e-07]","[0.6006396, 0.40117192, -1.4385802, -6.52809e-05, -2.7527774e-05, -6.7206906e-07]","[0.0, 1.5707977, -1.5707996, -1.5707923, -1.5707935, 5.722046e-06]","[1.5707943, 1.5707147, -1.5707211, 1.5707877, 1.5707633, -1.5708001]"
