time,rep fid
100,0.0887580513954162
200,0.264683187007904
300,0.3650521636009216
400,0.3937738537788391
500,0.4282085299491882
600,0.462795078754425
700,0.4881177544593811
800,0.5027654767036438
900,0.5170568227767944
1000,0.5308370888233185
1100,0.5420523285865784
1200,0.5497999787330627
1300,0.5572625398635864
1400,0.5636597275733948
1500,0.5690897107124329
1600,0.5751699209213257
1700,0.5829851627349854
1800,0.5944496393203735
1800,0.5943809151649475
1900,0.609935998916626
2000,0.6257055401802063
2100,0.6320711374282837
2200,0.6321015655994415
2300,0.6319919228553772
2400,0.6320096254348755
2500,0.6320923566818237
2600,0.6321147680282593
2700,0.6321358680725098
2800,0.6321601569652557
2900,0.6321330666542053
3000,0.6320118308067322
3100,0.6321578621864319
3200,0.6321601867675781
3300,0.6321552395820618
4000,0.6320227980613708
5000,0.6319076418876648
6000,0.6321579813957214
8000,0.6319379806518555
