time,steps,alpha,detuning,qubit_drive_amp,err,filenum
1000,1000,30,0.005,0.005,0.7059233,10
1000,1000,30,0.01,0.005,0.81449443,11
1000,1000,30,0.015,0.005,0.9184104,12
1000,1000,30,0.02,0.005,0.91835904,13
